admin\database.php|HEADING|Stock Report
admin\database.php|TABLE_HEADER|Description
admin\database.php|TABLE_HEADER|Table Name
admin\index.php|HEADING|Activity Logs
admin\index.php|HEADING|Admin Dashboard
admin\index.php|HEADING|Categories
admin\index.php|HEADING|Category Units
admin\index.php|HEADING|Customer Types
admin\index.php|HEADING|Database
admin\index.php|HEADING|Import/Export
admin\index.php|HEADING|Settings
admin\index.php|HEADING|Summary Cards
admin\index.php|HEADING|Units
admin\index.php|HEADING|Uploads
admin\index.php|HEADING|User Management
admin\product_import_export.php|HEADING|CSV Format Guide
admin\product_import_export.php|HEADING|Download Sample Template
admin\product_import_export.php|HEADING|Export Products
admin\product_import_export.php|HEADING|Import Products
admin\product_import_export.php|HEADING|Product Import/Export
admin\product_import_export.php|TABLE_HEADER|Barcode
admin\product_import_export.php|TABLE_HEADER|Category
admin\product_import_export.php|TABLE_HEADER|Cost Price *
admin\product_import_export.php|TABLE_HEADER|Description
admin\product_import_export.php|TABLE_HEADER|Low Stock
admin\product_import_export.php|TABLE_HEADER|Product Name *
admin\product_import_export.php|TABLE_HEADER|Sell Price *
admin\product_import_export.php|TABLE_HEADER|Status
admin\product_import_export.php|TABLE_HEADER|Stock Qty
admin\product_import_export.php|TABLE_HEADER|Unit
admin\settings.php|HEADING|Business Settings
admin\settings.php|HEADING|Company Information
admin\settings.php|HEADING|System Settings
admin\settings.php|LABEL|Address
admin\settings.php|LABEL|Company Name
admin\settings.php|LABEL|Currency Symbol
admin\settings.php|LABEL|Default Tax Rate (%)
admin\settings.php|LABEL|Email Address
admin\settings.php|LABEL|Low Stock Alert Threshold
admin\settings.php|LABEL|Phone Number
admin\settings.php|LABEL|Show Barcode Field in Product
admin\settings.php|LABEL|Site Name
admin\settings.php|PLACEHOLDER|https://example.com/logo.png
admin\summary_card_form.php|HEADING|Edit Summary Card
admin\summary_card_form.php|HEADING|Preview
admin\summary_card_form.php|LABEL|Active
admin\summary_card_form.php|LABEL|Card Title *
admin\summary_card_form.php|LABEL|Card Type
admin\summary_card_form.php|LABEL|Color
admin\summary_card_form.php|LABEL|Custom SQL Query
admin\summary_card_form.php|LABEL|Display Order
admin\summary_card_form.php|LABEL|Icon Class
admin\summary_card_form.php|LABEL|Status
admin\summary_cards.php|BUTTON_LINK|Cancel
admin\summary_cards.php|HEADING|Add New Summary Card
admin\summary_cards.php|HEADING|Summary Cards
admin\summary_cards.php|LABEL|Card Title *
admin\summary_cards.php|LABEL|Card Type
admin\summary_cards.php|LABEL|Color
admin\summary_cards.php|LABEL|Custom SQL Query
admin\summary_cards.php|LABEL|Display Order
admin\summary_cards.php|LABEL|Icon Class
admin\summary_cards.php|OPTION|Bar Chart
admin\summary_cards.php|OPTION|Box/Package
admin\summary_cards.php|OPTION|Building
admin\summary_cards.php|OPTION|Cart
admin\summary_cards.php|OPTION|Collection
admin\summary_cards.php|OPTION|Custom Query
admin\summary_cards.php|OPTION|Dollar
admin\summary_cards.php|OPTION|Graph
admin\summary_cards.php|OPTION|Heart
